ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-26T11:52:30.916-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],WRITE,48000,1,,99,266338304,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:52:30.916-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],WRITE,48000,2,,100,268435456,,,0,,,,0,0,centos03.beastmode.local.net:1611,
2025-07-26T11:52:30.916-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],WRITE,48000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:30.916-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],WRITE,48000,Total,,99,1071644672,4,39,0,0,0,22724,1,0,,
2025-07-26T11:53:25.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,0,,8,21757952,,,0,,,,1,6,centos01.beastmode.local.net:1611,
2025-07-26T11:53:25.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,1,,5,14680064,,,0,,,,1,6,centos02.beastmode.local.net:1611,
2025-07-26T11:53:25.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,2,,4,12320768,,,0,,,,1,5,centos03.beastmode.local.net:1611,
2025-07-26T11:53:25.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,3,,55,148635648,,,0,,,,1,28,centos04.beastmode.local.net:1611,
2025-07-26T11:53:25.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,Total,,18,197394432,94,376,0,0,0,8519,4,11,,
2025-07-26T11:53:27.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,0,,11,31981568,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:53:27.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,1,,11,29622272,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:53:27.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,2,,9,24903680,,,0,,,,1,4,centos03.beastmode.local.net:1611,
2025-07-26T11:53:27.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:27.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,Total,,33,354942976,75,300,0,0,0,29075,3,2,,
2025-07-26T11:53:29.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,0,,16,44564480,,,0,,,,1,1,centos01.beastmode.local.net:1611,
2025-07-26T11:53:29.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,1,,16,44564480,,,0,,,,1,4,centos02.beastmode.local.net:1611,
2025-07-26T11:53:29.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,2,,18,49283072,,,0,,,,1,6,centos03.beastmode.local.net:1611,
2025-07-26T11:53:29.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:29.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,Total,,37,406847488,24,99,0,0,0,33925,3,2,,
2025-07-26T11:53:31.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,0,,21,56885248,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:53:31.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,1,,23,61865984,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:53:31.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,2,,23,64225280,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:53:31.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:31.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,Total,,42,451411968,21,85,0,0,0,41754,3,1,,
2025-07-26T11:53:33.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,0,,28,75497472,,,0,,,,1,5,centos01.beastmode.local.net:1611,
2025-07-26T11:53:33.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,1,,27,74448896,,,0,,,,1,1,centos02.beastmode.local.net:1611,
2025-07-26T11:53:33.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,2,,27,74448896,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:53:33.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:33.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,Total,,45,492830720,19,79,0,0,0,37316,3,2,,
2025-07-26T11:53:35.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,0,,32,88080384,,,0,,,,1,6,centos01.beastmode.local.net:1611,
2025-07-26T11:53:35.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,1,,31,84672512,,,0,,,,1,0,centos02.beastmode.local.net:1611,
2025-07-26T11:53:35.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,2,,33,88866816,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:53:35.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:35.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,Total,,49,530055168,17,71,0,0,0,30079,3,2,,
2025-07-26T11:53:37.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,0,,41,110100480,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:53:37.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,1,,38,104333312,,,0,,,,1,0,centos02.beastmode.local.net:1611,
2025-07-26T11:53:37.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,2,,37,101449728,,,0,,,,1,5,centos03.beastmode.local.net:1611,
2025-07-26T11:53:37.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:37.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,Total,,54,584318976,25,103,0,0,0,26776,3,1,,
2025-07-26T11:53:39.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,16000,0,,46,125042688,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:53:39.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,16000,1,,42,115081216,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:53:39.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,16000,2,,46,125829120,,,0,,,,1,6,centos03.beastmode.local.net:1611,
2025-07-26T11:53:39.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,16000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:39.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,16000,Total,,59,634388480,23,95,0,0,0,32696,3,2,,
2025-07-26T11:53:41.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,18000,0,,52,139984896,,,0,,,,1,4,centos01.beastmode.local.net:1611,
2025-07-26T11:53:41.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,18000,1,,46,125304832,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:53:41.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,18000,2,,53,143130624,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:53:41.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,18000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:41.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,18000,Total,,63,676855808,20,81,0,0,0,40588,3,2,,
2025-07-26T11:53:43.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,20000,0,,59,159645696,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:53:43.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,20000,1,,54,147324928,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:53:43.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,20000,2,,62,167510016,,,0,,,,1,5,centos03.beastmode.local.net:1611,
2025-07-26T11:53:43.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,20000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:43.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,20000,Total,,69,742916096,31,126,0,0,0,25731,3,3,,
2025-07-26T11:53:45.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,22000,0,,66,179306496,,,0,,,,1,6,centos01.beastmode.local.net:1611,
2025-07-26T11:53:45.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,22000,1,,58,157286400,,,0,,,,1,7,centos02.beastmode.local.net:1611,
2025-07-26T11:53:45.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,22000,2,,67,180092928,,,0,,,,1,4,centos03.beastmode.local.net:1611,
2025-07-26T11:53:45.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,22000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:45.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,22000,Total,,73,785121280,20,80,0,0,0,27723,3,4,,
2025-07-26T11:53:47.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,24000,0,,75,203685888,,,0,,,,1,4,centos01.beastmode.local.net:1611,
2025-07-26T11:53:47.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,24000,1,,67,181927936,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:53:47.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,24000,2,,70,190316544,,,0,,,,1,4,centos03.beastmode.local.net:1611,
2025-07-26T11:53:47.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,24000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:47.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,24000,Total,,78,844365824,28,113,0,0,0,40289,3,2,,
2025-07-26T11:53:49.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,26000,0,,81,218628096,,,0,,,,1,6,centos01.beastmode.local.net:1611,
2025-07-26T11:53:49.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,26000,1,,76,205258752,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:53:49.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,26000,2,,79,212336640,,,0,,,,1,5,centos03.beastmode.local.net:1611,
2025-07-26T11:53:49.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,26000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:49.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,26000,Total,,84,904658944,28,115,0,0,0,20777,3,4,,
2025-07-26T11:53:51.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,28000,0,,87,235929600,,,0,,,,1,5,centos01.beastmode.local.net:1611,
2025-07-26T11:53:51.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,28000,1,,85,229638144,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:53:51.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,28000,2,,86,231997440,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:53:51.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,28000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:51.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,28000,Total,,89,966000640,29,117,0,0,0,28158,3,3,,
2025-07-26T11:53:53.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,30000,0,,92,248512512,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:53:53.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,30000,1,,94,252706816,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:53:53.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,30000,2,,91,246939648,,,0,,,,1,1,centos03.beastmode.local.net:1611,
2025-07-26T11:53:53.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,30000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:53.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,30000,Total,,94,1016594432,24,96,0,0,0,36571,3,2,,
2025-07-26T11:53:55.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,32000,0,,98,263454720,,,0,,,,1,1,centos01.beastmode.local.net:1611,
2025-07-26T11:53:55.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,32000,1,,97,262930432,,,0,,,,1,1,centos02.beastmode.local.net:1611,
2025-07-26T11:53:55.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,32000,2,,100,268435456,,,0,,,,0,0,centos03.beastmode.local.net:1611,
2025-07-26T11:53:55.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,32000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:53:55.471-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],WRITE,32000,Total,,99,1063256064,22,89,0,0,0,48591,2,0,,
2025-07-26T11:54:54.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,0,,8,21495808,,,0,,,,1,6,centos01.beastmode.local.net:1611,
2025-07-26T11:54:54.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,1,,8,21495808,,,0,,,,1,6,centos02.beastmode.local.net:1611,
2025-07-26T11:54:54.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,2,,7,19398656,,,0,,,,1,6,centos03.beastmode.local.net:1611,
2025-07-26T11:54:54.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,3,,68,185073664,,,0,,,,1,42,centos04.beastmode.local.net:1611,
2025-07-26T11:54:54.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,2000,Total,,23,247463936,118,236,0,0,0,15357,4,15,,
2025-07-26T11:54:56.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,0,,16,43515904,,,0,,,,1,5,centos01.beastmode.local.net:1611,
2025-07-26T11:54:56.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,1,,16,43515904,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:54:56.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,2,,15,41418752,,,0,,,,1,6,centos03.beastmode.local.net:1611,
2025-07-26T11:54:56.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:54:56.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,4000,Total,,36,396886016,71,142,0,0,0,44292,3,4,,
2025-07-26T11:54:58.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,0,,24,65536000,,,0,,,,1,6,centos01.beastmode.local.net:1611,
2025-07-26T11:54:58.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,1,,25,68157440,,,0,,,,1,6,centos02.beastmode.local.net:1611,
2025-07-26T11:54:58.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,2,,24,66060288,,,0,,,,1,4,centos03.beastmode.local.net:1611,
2025-07-26T11:54:58.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:54:58.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,6000,Total,,43,468189184,34,68,0,0,0,42809,3,4,,
2025-07-26T11:55:00.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,0,,31,83886080,,,0,,,,1,6,centos01.beastmode.local.net:1611,
2025-07-26T11:55:00.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,1,,33,90177536,,,0,,,,1,6,centos02.beastmode.local.net:1611,
2025-07-26T11:55:00.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,2,,24,66060288,,,0,,,,1,4,centos03.beastmode.local.net:1611,
2025-07-26T11:55:00.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:55:00.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,8000,Total,,47,508559360,19,38,0,0,0,42803,3,4,,
2025-07-26T11:55:02.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,0,,40,109576192,,,0,,,,1,4,centos01.beastmode.local.net:1611,
2025-07-26T11:55:02.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,1,,41,112197632,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:55:02.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,2,,41,110100480,,,0,,,,1,5,centos03.beastmode.local.net:1611,
2025-07-26T11:55:02.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:55:02.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,10000,Total,,55,600309760,43,87,0,0,0,41998,3,3,,
2025-07-26T11:55:04.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,0,,48,131072000,,,0,,,,1,4,centos01.beastmode.local.net:1611,
2025-07-26T11:55:04.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,1,,50,134217728,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:55:04.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,2,,49,133169152,,,0,,,,1,4,centos03.beastmode.local.net:1611,
2025-07-26T11:55:04.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:55:04.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,12000,Total,,62,666894336,31,63,0,0,0,42815,3,3,,
2025-07-26T11:55:06.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,0,,57,153092096,,,0,,,,1,4,centos01.beastmode.local.net:1611,
2025-07-26T11:55:06.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,1,,58,156237824,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:55:06.398-0400,SW_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],WRITE,14000,2,,57,155189248,,,0,,,,1,6,centos03.beastmode.local.net:1611,
